"date","state","recover"
2020-10-14,"PERLIS",0
2020-10-14,"KEDAH",226
2020-10-14,"PULAU PINANG",0
2020-10-14,"PERAK",0
2020-10-14,"SELANGOR",50
2020-10-14,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-10-14,"NEGERI SEMBILAN",6
2020-10-14,"MELAKA",0
2020-10-14,"JOHOR",7
2020-10-14,"PAHANG",1
2020-10-14,"TERENGGANU",8
2020-10-14,"KELANTAN",0
2020-10-14,"SABAH",111
2020-10-14,"SARAWAK",0
2020-10-14,"WP LABUAN",0
2020-10-15,"PERLIS",NA
2020-10-15,"KEDAH",NA
2020-10-15,"PULAU PINANG",NA
2020-10-15,"PERAK",NA
2020-10-15,"SELANGOR",NA
2020-10-15,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-10-15,"NEGERI SEMBILAN",NA
2020-10-15,"MELAKA",NA
2020-10-15,"JOHOR",NA
2020-10-15,"PAHANG",NA
2020-10-15,"TERENGGANU",NA
2020-10-15,"KELANTAN",NA
2020-10-15,"SABAH",NA
2020-10-15,"SARAWAK",NA
2020-10-15,"WP LABUAN",NA
2020-10-16,"PERLIS",NA
2020-10-16,"KEDAH",NA
2020-10-16,"PULAU PINANG",NA
2020-10-16,"PERAK",NA
2020-10-16,"SELANGOR",NA
2020-10-16,"WP KUALA LUMPUR/PUTRAJAYA",NA
2020-10-16,"NEGERI SEMBILAN",NA
2020-10-16,"MELAKA",NA
2020-10-16,"JOHOR",NA
2020-10-16,"PAHANG",NA
2020-10-16,"TERENGGANU",NA
2020-10-16,"KELANTAN",NA
2020-10-16,"SABAH",NA
2020-10-16,"SARAWAK",NA
2020-10-16,"WP LABUAN",NA
2020-10-17,"PERLIS",0
2020-10-17,"KEDAH",0
2020-10-17,"PULAU PINANG",1
2020-10-17,"PERAK",16
2020-10-17,"SELANGOR",41
2020-10-17,"WP KUALA LUMPUR/PUTRAJAYA",3
2020-10-17,"NEGERI SEMBILAN",1
2020-10-17,"MELAKA",0
2020-10-17,"JOHOR",0
2020-10-17,"PAHANG",0
2020-10-17,"TERENGGANU",0
2020-10-17,"KELANTAN",0
2020-10-17,"SABAH",236
