"date","state","recover"
2020-10-14,"KELANTAN",0
2020-10-15,"KELANTAN",NA
2020-10-16,"KELANTAN",NA
2020-10-17,"KELANTAN",0
2020-10-18,"KELANTAN",0
2020-10-19,"KELANTAN",0
2020-10-20,"KELANTAN",0
2020-10-21,"KELANTAN",0
2020-10-22,"KELANTAN",0
2020-10-23,"KELANTAN",0
2020-10-24,"KELANTAN",0
2020-10-25,"KELANTAN",0
2020-10-26,"KELANTAN",0
2020-10-27,"KELANTAN",0
2020-10-28,"KELANTAN",0
2020-10-29,"KELANTAN",NA
2020-10-30,"KELANTAN",2
2020-10-31,"KELANTAN",NA
2020-11-01,"KELANTAN",0
2020-11-02,"KELANTAN",NA
2020-11-03,"KELANTAN",2
2020-11-04,"KELANTAN",2
2020-11-05,"KELANTAN",0
2020-11-06,"KELANTAN",1
2020-11-07,"KELANTAN",0
2020-11-08,"KELANTAN",NA
2020-11-09,"KELANTAN",2
2020-11-10,"KELANTAN",NA
2020-11-11,"KELANTAN",0
2020-11-12,"KELANTAN",NA
2020-11-13,"KELANTAN",0
2020-11-14,"KELANTAN",0
2020-11-15,"KELANTAN",NA
2020-11-16,"KELANTAN",0
2020-11-17,"KELANTAN",NA
2020-11-18,"KELANTAN",1
2020-11-19,"KELANTAN",9
2020-11-20,"KELANTAN",2
2020-11-21,"KELANTAN",1
2020-11-22,"KELANTAN",2
2020-11-23,"KELANTAN",3
2020-11-24,"KELANTAN",4
2020-11-25,"KELANTAN",4
2020-11-26,"KELANTAN",8
2020-11-27,"KELANTAN",19
2020-11-28,"KELANTAN",14
2020-11-29,"KELANTAN",NA
2020-11-30,"KELANTAN",8
2020-12-01,"KELANTAN",NA
2020-12-02,"KELANTAN",11
2020-12-03,"KELANTAN",11
2020-12-04,"KELANTAN",2
2020-12-05,"KELANTAN",12
2020-12-06,"KELANTAN",11
2020-12-07,"KELANTAN",12
2020-12-08,"KELANTAN",15
2020-12-09,"KELANTAN",5
2020-12-10,"KELANTAN",5
2020-12-11,"KELANTAN",3
2020-12-12,"KELANTAN",2
2020-12-13,"KELANTAN",12
2020-12-14,"KELANTAN",23
2020-12-15,"KELANTAN",NA
2020-12-16,"KELANTAN",6
2020-12-17,"KELANTAN",13
2020-12-18,"KELANTAN",NA
2020-12-19,"KELANTAN",NA
