"","time","S","I","R","Date","A","Rm","total_infected"
"1",1,69679,151,9203,2020-09-01,151,9203,9354
"2",2,69657.6628990429,164.593812524997,9210.74328843214,2020-09-02,153,9207,9375.33710095713
"3",3,69634.4128385841,179.403665244161,9219.18349617177,2020-09-03,163,9211,9398.58716141593
"4",4,69609.0801010941,195.536934965951,9228.38296393991,2020-09-04,165,9220,9423.91989890586
"5",5,69581.4806190098,213.109980937778,9238.40940005242,2020-09-05,150,9241,9451.5193809902
"6",6,69551.4141304556,232.249284219896,9249.33658532449,2020-09-06,154,9243,9481.58586954439
"7",7,69518.6630474481,253.092131078252,9261.24482147361,2020-09-07,207,9252,9514.33695255187
"8",8,69482.9915266039,275.787165465105,9274.22130793097,2020-09-08,295,9264,9550.00847339607
"9",9,69444.1435298046,300.495565030445,9288.36090516496,2020-09-09,312,9271,9588.85647019541
"10",10,69401.8415085694,327.391823008058,9303.76666842259,2020-09-10,333,9295,9631.15849143065
"11",11,69355.7845010567,356.664876575121,9320.55062236816,2020-09-11,501,9309,9677.21549894329
"12",12,69305.6465085703,388.519058846365,9338.8344325833,2020-09-12,551,9317,9727.35349142966
"13",13,69251.0746453573,423.175173641642,9358.75018100103,2020-09-13,591,9324,9781.92535464268
"14",14,69191.6871151922,460.871659494818,9380.44122531304,2020-09-14,615,9331,9841.31288480786
"15",15,69127.0711596763,501.865751986123,9404.06308833759,2020-09-15,632,9337,9905.92884032372
"16",16,69056.7809079271,546.434682836963,9429.78440923599,2020-09-16,668,9363,9976.21909207296
"17",17,68980.3351413224,594.876903026467,9457.78795565115,2020-09-17,674,9378,10052.6648586776
"18",18,68897.2149895538,647.513314711261,9488.27169573499,2020-09-18,754,9393,10135.7850104463
"19",19,68806.8615718474,704.688497439622,9521.44993071302,2020-09-19,722,9445,10226.1384281526
"20",20,68708.6736035868,766.771909292804,9557.5544871204,2020-09-20,734,9485,10324.3263964132
"21",21,68602.0049935715,834.159039507795,9596.83596692073,2020-09-21,751,9525,10430.9950064285
